Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-10-07 11:38:44.519 +0530,"Aborted",0:15:13,2,0,0,"20191007_113844.519/LogFile.txt","","",41
2019-10-07 17:18:15.508 +0530,"Aborted",0:00:38,1,0,1,"20191007_171815.508/LogFile.txt","","",0
2019-10-07 17:19:04.164 +0530,"Aborted",0:09:39,2,0,0,"20191007_171904.164/LogFile.txt","","",42
2019-10-07 23:57:32.640 +0530,"Aborted",0:04:21,2,0,0,"20191007_235732.640/LogFile.txt","","",42
2019-10-08 00:53:15.618 +0530,"Aborted",0:00:42,2,0,1,"20191008_005315.618/LogFile.txt","","",2
2019-10-08 19:07:36.227 +0530,"Failure",0:07:07,2,0,0,"20191008_190736.227/LogFile.txt","","AssertionFailed -- Validating Precautions header (assertion: PrecautionOptions contains ""Seizure risk""; actually: V\nsuicide risk: Plan\nFall risk: 40 DOES NOT contain Seizure risk)",42
2019-10-08 21:54:25.154 +0530,"Aborted",0:44:35,2,0,0,"20191008_215425.154/LogFile.txt","","",42
2019-10-08 22:39:01.218 +0530,"Aborted",0:00:03,1,0,0,"20191008_223901.218/LogFile.txt","","",0
2019-10-09 00:24:01.049 +0530,"Aborted",0:06:21,2,0,0,"20191009_002401.049/LogFile.txt","","",42
2019-10-09 00:35:56.933 +0530,"Failure",0:06:53,2,0,0,"20191009_003556.933/LogFile.txt","","AssertionFailed -- Validating Precautions header (assertion: PrecautionOptions contains ""Seizure risk""; actually: V\nsuicide risk: Plan\nFall risk: 40 DOES NOT contain Seizure risk)",42
2019-10-09 11:18:24.926 +0530,"Aborted",0:00:35,1,0,1,"20191009_111824.926/LogFile.txt","","",3
2019-10-09 11:19:25.584 +0530,"Failure",0:06:51,1,0,1,"20191009_111925.584/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""Baseline East Medical Center"")""  Restricted Search Rectangle ((201,50),(451,1080))\n",43
2019-10-09 11:31:20.209 +0530,"Failure",0:13:00,2,0,1,"20191009_113120.209/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""Baseline East Medical Center"")""  Restricted Search Rectangle ((201,50),(451,1080))\n",58
2019-10-09 14:06:46.544 +0530,"Aborted",0:00:02,1,0,0,"20191009_140646.544/LogFile.txt","","",0
2019-10-09 14:41:12.586 +0530,"Aborted",0:05:33,1,0,1,"20191009_144112.586/LogFile.txt","","",38
2019-10-09 14:47:34.135 +0530,"Aborted",0:00:05,1,0,1,"20191009_144734.135/LogFile.txt","","",0
2019-10-09 14:48:21.018 +0530,"Aborted",0:00:07,1,0,0,"20191009_144821.018/LogFile.txt","","",0
2019-10-09 14:48:30.251 +0530,"Aborted",0:07:31,1,0,1,"20191009_144830.251/LogFile.txt","","",43
2019-10-09 15:23:21.615 +0530,"Aborted",0:10:24,1,0,0,"20191009_152321.615/LogFile.txt","","",43
2019-10-09 15:37:18.362 +0530,"Aborted",0:05:14,1,0,1,"20191009_153718.362/LogFile.txt","","",38
2019-10-09 15:42:52.628 +0530,"Failure",0:00:59,1,0,1,"20191009_154252.628/LogFile.txt","","Image Not Found -- moveto Error - No Image Found On Screen: ""BEH_SA_MainPageComponent/BEH_SA_AddPatientWindow/Link_NurseUnit""",3
2019-10-09 15:44:23.517 +0530,"Failure",0:07:45,1,0,1,"20191009_154423.517/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""BEH_SA_MainPageComponent/Button_OrdersForSignature""",43
2019-10-09 19:58:05.461 +0530,"Aborted",0:08:37,1,0,1,"20191009_195805.461/LogFile.txt","","",43
